Date;Open;High;Low;Close;Adj Close;Volume
04/08/2015;50138;50574;49827;50058;50058;2670400
05/08/2015;50067;50853;50067;50287;50287;2662100
06/08/2015;50280;50534;49624;50011;50011;3640800
07/08/2015;50013;50013;48512;48577;48577;3218400
10/08/2015;48578;49512;48578;49353;49353;2842100
11/08/2015;49340;49340;48306;49072;49072;3288000
12/08/2015;49064;49064;48028;48388;48388;4234500
13/08/2015;48390;48606;47722;48010;48010;3186500
14/08/2015;48010;48186;47508;47508;47508;2878900
17/08/2015;47509;47788;47217;47217;47217;2411800
18/08/2015;47220;48084;46676;47451;47451;3544600
19/08/2015;47451;47451;45977;46588;46588;3236800
20/08/2015;46588;46781;46030;46649;46649;2945700
21/08/2015;46649;46649;45677;45720;45720;2869600
24/08/2015;45715;45715;42749;44336;44336;4727700
25/08/2015;44338;45588;44338;44545;44545;3726600
26/08/2015;44546;46039;44540;46038;46038;3739600
27/08/2015;46038;47997;46038;47715;47715;4252000
28/08/2015;47697;47872;46847;47154;47154;3778600
31/08/2015;47151;47151;45570;46626;46626;4667300
01/09/2015;46625;46625;45278;45477;45477;3665000
02/09/2015;45484;46474;45445;46464;46464;3740100
03/09/2015;46468;47532;46279;47366;47366;4103000
04/09/2015;47366;47377;46320;46498;46498;4174900
08/09/2015;46501;47243;46497;46762;46762;2851000
09/09/2015;46762;47840;46614;46657;46657;3699200
10/09/2015;46656;46819;45592;46504;46504;4483200
11/09/2015;46509;46558;46176;46401;46401;3615300
14/09/2015;46400;47386;46218;47282;47282;3579400
15/09/2015;47281;47689;46746;47364;47364;3562000
16/09/2015;47364;48681;47364;48553;48553;4320300
17/09/2015;48553;49396;48082;48551;48551;4184700
18/09/2015;48550;48550;46928;47264;47264;4381000
21/09/2015;47263;47391;46425;46590;46590;2601200
22/09/2015;46585;46585;45276;46265;46265;4193100
23/09/2015;46263;46480;45340;45340;45340;3962000
24/09/2015;45340;45572;44183;45292;45292;4331700
25/09/2015;45300;45969;44697;44831;44831;3135300
28/09/2015;44832;44832;43767;43957;43957;2771900
29/09/2015;43956;44531;43956;44132;44132;2960700
30/09/2015;44132;45294;44132;45059;45059;4831200
01/10/2015;45064;45547;44789;45313;45313;3773200
02/10/2015;45313;47033;44973;47033;47033;4001300
05/10/2015;47033;48081;47019;47598;47598;3323700
06/10/2015;47598;48092;47389;47735;47735;3370800
07/10/2015;47735;49290;47715;48914;48914;6060700
08/10/2015;48915;49247;48658;49107;49107;3585000
09/10/2015;49105;49752;48698;49338;49338;4551200
13/10/2015;49339;49339;47135;47363;47363;4221100
14/10/2015;47349;47715;46701;46710;46710;6141700
15/10/2015;46730;47188;46321;47161;47161;3653000
16/10/2015;47161;47727;46517;47236;47236;3537700
19/10/2015;47242;47536;46917;47447;47447;3133600
20/10/2015;47447;47728;46623;47077;47077;3297000
21/10/2015;47077;47274;46654;47026;47026;2957300
22/10/2015;47027;47909;47027;47772;47772;3124100
23/10/2015;47774;48837;47502;47597;47597;3592300
26/10/2015;47607;47875;47105;47209;47209;2451400
27/10/2015;47205;47338;46742;47043;47043;3443800
28/10/2015;47038;47441;46388;46741;46741;4085200
29/10/2015;46740;46740;45628;45628;45628;3082000
30/10/2015;45628;45975;45401;45869;45869;3231400
03/11/2015;45869;48054;45866;48054;48054;4603800
04/11/2015;48059;49054;47441;47710;47710;3627200
05/11/2015;47712;48061;47430;48047;48047;3189000
06/11/2015;48046;48046;46397;46919;46919;3091100
09/11/2015;46915;47001;46057;46195;46195;2278500
10/11/2015;46195;46195;45397;46179;46179;2401800
11/11/2015;46207;47231;46207;47065;47065;3071700
12/11/2015;47065;47460;46696;46884;46884;3154200
13/11/2015;46884;46884;46311;46517;46517;3517200
16/11/2015;46519;46905;46399;46847;46847;3144900
17/11/2015;46848;47698;46848;47248;47248;3341700
18/11/2015;47241;47951;47241;47436;47436;3965500
19/11/2015;47437;48227;47437;48139;48139;4069100
23/11/2015;48138;48745;47988;48150;48150;3277600
24/11/2015;48143;48320;47442;48284;48284;3445700
25/11/2015;48270;48270;46742;46867;46867;3976000
26/11/2015;46867;47199;46867;47146;47146;2288300
27/11/2015;47144;47144;45812;45873;45873;3031900
30/11/2015;45871;45931;45106;45120;45120;7164800
01/12/2015;45121;45482;44775;45047;45047;4176300
02/12/2015;45046;45338;44579;44915;44915;4179400
03/12/2015;44923;47142;44923;46393;46393;4421500
04/12/2015;46385;46385;45023;45361;45361;3520900
07/12/2015;45361;46157;45217;45223;45223;2853300
08/12/2015;45223;45233;44232;44443;44443;3203200
09/12/2015;44444;46438;44444;46108;46108;4446400
10/12/2015;46084;46323;45351;45631;45631;3638300
11/12/2015;45630;45981;45068;45263;45263;3281900
14/12/2015;45258;45258;44531;44747;44747;2481600
15/12/2015;44748;45423;44748;44872;44872;2558500
16/12/2015;44868;45099;44095;45016;45016;3324300
17/12/2015;45016;46251;45016;45261;45261;3028800
18/12/2015;45249;45249;43690;43911;43911;4564700
21/12/2015;43912;44223;43196;43200;43200;3452900
22/12/2015;43208;43632;43137;43470;43470;2577000
23/12/2015;43479;44233;43479;44015;44015;2501300
28/12/2015;44016;44087;43709;43764;43764;1793200
29/12/2015;43781;44042;43523;43654;43654;1675900
30/12/2015;43653;43662;43217;43350;43350;2679200
04/01/2016;43349;43349;42125;42141;42141;2976300
05/01/2016;42139;42534;42137;42419;42419;2557200
06/01/2016;42410;42410;41590;41773;41773;3935900
07/01/2016;41772;41772;40695;40695;40695;4032300
08/01/2016;40695;41218;40463;40612;40612;3221600
11/01/2016;40612;40974;39924;39950;39950;3086400
12/01/2016;39955;40261;39426;39514;39514;3383700
13/01/2016;39518;40050;38822;38944;38944;3569600
14/01/2016;38944;39502;38459;39500;39500;3868600
15/01/2016;39494;39494;37986;38569;38569;4076400
18/01/2016;38572;38633;37937;37937;37937;2161200
19/01/2016;37941;38857;37941;38057;38057;3044900
20/01/2016;38056;38056;37046;37645;37645;3958400
21/01/2016;37647;38079;37495;37717;37717;3773600
22/01/2016;37737;38444;37737;38031;38031;4197500
26/01/2016;38031;38031;37112;37497;37497;3607000
27/01/2016;37501;38766;37402;38376;38376;4648600
28/01/2016;38376;39100;37996;38630;38630;4464600
29/01/2016;38635;40406;38635;40406;40406;5475700
01/02/2016;40397;40570;39738;40570;40570;3661700
02/02/2016;40564;40564;38596;38596;38596;4425300
03/02/2016;38597;39726;38597;39589;39589;4238100
04/02/2016;39589;41444;39589;40822;40822;5388500
05/02/2016;40812;41249;40566;40592;40592;3669000
10/02/2016;40592;40592;39960;40377;40377;3700000
11/02/2016;40370;40370;38928;39318;39318;3794000
12/02/2016;39324;39901;39324;39808;39808;3327800
15/02/2016;39808;40671;39808;40093;40093;1694300
16/02/2016;40093;41206;40074;40948;40948;3921300
17/02/2016;40958;42436;40958;41631;41631;5307100
18/02/2016;41624;41698;41183;41478;41478;3534900
19/02/2016;41477;41828;41071;41543;41543;3298700
22/02/2016;41544;43345;41544;43235;43235;4508500
23/02/2016;43235;43601;42359;42521;42521;3805300
24/02/2016;42521;42521;41211;42085;42085;3522700
25/02/2016;42084;42327;41442;41888;41888;4046700
26/02/2016;41889;42495;41417;41593;41593;3274600
29/02/2016;41599;43053;41599;42794;42794;4473500
01/03/2016;42795;44181;42795;44122;44122;4610100
02/03/2016;44122;44983;43841;44893;44893;5009600
03/03/2016;44900;47375;44900;47193;47193;9031000
04/03/2016;47194;50024;47194;49085;49085;10284300
07/03/2016;49089;49639;48746;49246;49246;5720600
08/03/2016;49244;49914;48847;49102;49102;7150500
09/03/2016;49102;50001;48623;48665;48665;6230600
10/03/2016;48667;49974;47922;49571;49571;7467200
11/03/2016;49574;50038;49156;49639;49639;6002200
14/03/2016;49639;50166;48757;48867;48867;4801100
15/03/2016;48866;48866;46684;47130;47130;5502200
16/03/2016;47130;47814;46521;47763;47763;5111000
17/03/2016;47770;51268;47770;50914;50914;7245100
18/03/2016;50915;51308;50202;50815;50815;5448400
21/03/2016;50816;51370;50765;51172;51172;3708500
22/03/2016;51170;51215;50812;51010;51010;3896600
23/03/2016;51005;51005;49491;49690;49690;3638700
24/03/2016;49686;49686;48778;49657;49657;3688400
28/03/2016;49687;51149;49687;50838;50838;3515800
